surname,address,city
Alexander III of Macedon,Macedonia,Megalopolis
Cyrus the Great,Persia,Gushtaspa
Darius I of Persia,Persia,Susa
Genghis Khan,Mongolia,Orda Khanate
Amalia of Bavaria,Bavaria,Regensburg
Pope Julius II,Vatican City,Rome
Charles Martel,Francia,Tours
Ferdinand III of Castile,Castile,Segovia
Jiang Zhiye,China,Hangzhou
Abbas I of Persia,Persia,Tehran
Henry V of England,England,London
Francesco Sforza,Italy,Milan
Benedict XIII of Avignon,France,Avignon
El Cid,Spain,Almería
Tamerlane,Mongolia,Bukhara
Kublai Khan,China,Beijing
Sigismund of Hungary,Hungary,Pressburg
Juan II of Aragon,Aragon,Tarazona
René I of Anjou,France,Angers
